2020-01-09T15:52:58.746381,info,,,Web interface can be found at http://localhost:26000
2020-01-09T15:52:58.827499,open test case,,,Test case 1: LTER.no-name.1
2020-01-09T15:52:58.827527,info,,,Type: String. Default value: 'FUZZ'. Case 1 of 1441 overall.
2020-01-09T15:52:58.827543,info,,,Opening target connection (192.168.1.250:9999)...
2020-01-09T15:52:58.828336,info,,,Connection opened.
2020-01-09T15:52:58.828363,open step,,,Callback function
2020-01-09T15:52:58.828434,info,,,Receiving...
2020-01-09T15:52:58.830469,recv,51,57 65 6c 63 6f 6d 65 20 74 6f 20 56 75 6c 6e 65 72 61 62 6c 65 20 53 65 72 76 65 72 21 20 45 6e 74 65 72 20 48 45 4c 50 20 66 6f 72 20 68 65 6c 70 2e 0a,'Welcome to Vulnerable Server! Enter HELP for help.\n'
2020-01-09T15:52:58.830497,check,,,Receiving banner..
2020-01-09T15:52:58.830511,pass,,,banner received
2020-01-09T15:52:58.830525,open step,,,Fuzzing Node 'LTER'
2020-01-09T15:52:58.830548,info,,,Sending 7 bytes...
2020-01-09T15:52:58.830635,send,7,4c 54 45 52 20 0d 0a,'LTER \r\n'
2020-01-09T15:52:58.830680,info,,,Closing target connection...
2020-01-09T15:52:58.830831,info,,,Connection closed.
2020-01-09T15:52:58.832393,open test case,,,Test case 2: LTER.no-name.2
2020-01-09T15:52:58.832418,info,,,Type: String. Default value: 'FUZZ'. Case 2 of 1441 overall.
2020-01-09T15:52:58.832460,info,,,Opening target connection (192.168.1.250:9999)...
2020-01-09T15:52:58.832966,info,,,Connection opened.
2020-01-09T15:52:58.832985,open step,,,Callback function
2020-01-09T15:52:58.832995,info,,,Receiving...
2020-01-09T15:52:58.859103,recv,51,57 65 6c 63 6f 6d 65 20 74 6f 20 56 75 6c 6e 65 72 61 62 6c 65 20 53 65 72 76 65 72 21 20 45 6e 74 65 72 20 48 45 4c 50 20 66 6f 72 20 68 65 6c 70 2e 0a,'Welcome to Vulnerable Server! Enter HELP for help.\n'
2020-01-09T15:52:58.859147,check,,,Receiving banner..
2020-01-09T15:52:58.859173,pass,,,banner received
2020-01-09T15:52:58.859199,open step,,,Fuzzing Node 'LTER'
2020-01-09T15:52:58.859240,info,,,Sending 5013 bytes...
